Username
JustinWolfers
michaelbatnick
SallieKrawCheck
davidfaber
LizAnnSoders
ritholtz
matt_levine
jasonzweigwsj
AswathDamodaran
chamath
awealthofcs
MattPaulsonSD
bespokeinvest
SJosephBurns
irusha
hmeisler
DKellerCMT
morganhousel
emmetlsavage
TMFJMo
stratechery
pkedrosky
DavidSchawel
howardlindzon
conorsen
ReformedBroker
mark_dow
MebFaber
ericjackson
michaelkitces
firoozye
elerianm
IanShepherdson
M_McDonough
cullenroche
nanexllc
JIMCRAMER
PETERLBRANDT
STEVE_HANKE
ALAIDI
AdamGrant
John_Hempton
BarbarianCap
muddywatersre
AlderLaneeggs
CitronResearch
BrattleStCap
KerrisdaleCap
modestproposal1
marketfolly
EventDrivenMgr
ActivistShorts
Carl_C_Icahn
LongShortTrader
DonutShorts
sprucepointcap
BluegrassCap
SIRF_Report
NoonSixCap
WallStCynic
GothamResearch
herbgreenberg
Valuetrap13
valuewalk
UnionSquareGrp
PlanMaestro
ReformedBroker
SkeleCap
FatTailCapital
ShortSightedCap
footnoted
Mega_Man_2
JacobWolinsky
zerohedge
FundyLongShort
MugatuCapital
DumbLuckCapital
Hedge_FundGirl
PresciencePoint
DavidSchawel
pmarca
fundiescapital
ActAccordingly
EquityNYC
nosunkcosts
MicroFundy
BergenCapital
marginalidea
Keubiko
Jesse_Livermore
PainCapital
EdBorgato
SmallCapLS
RodBoydILM
AlexRubalcava
LadyFOHF
activiststocks
firstadopter
WSJ
xuexishenghuo
cablecarcapital
probesreporter
GrantsPub
business
DennyCrane550
Seventeen_Mile
StaleyRdCap
AureliusValue
Find_Me_Value
davidein
maxvision33
ValueDude
Fritz844
plainview_
TMTanalyst
manualofideas
QTRResearch
matt_levine
StrangestTribeX
LibertyRPF
AZ_Value
FCFYield
GlaucusResearch
HardcoreValue
PhilipEtienne
HedgeyeENERGY
TigreCapital
CopperfieldRscr
covenantlite
adoxen
HedgeyeHWP
mjmauboussin
TruthGundlach
bespokeinvest
UnderwaterCap
jay_21_
schaudenfraud
JohnHuber72
mark_dow
TheEconomist
CNBC
Forbes
stlouisfed
business
FT
MorganStanley
GoldmanSachs
BlackRock
nytimesbusiness
WSJmarkets
